,index,DATDEP,DELAY_DEP
0,63232,2019-04-01,23.0
1,126505,2019-04-02,79.0
2,201981,2019-04-03,417.0
3,263369,2019-04-04,167.0
4,313104,2019-04-05,3.0
5,399671,2019-04-06,54.0
6,416082,2019-04-07,12.0
7,455716,2019-04-08,23.0
8,531594,2019-04-09,41.0
9,605218,2019-04-10,174.0
10,705624,2019-04-11,34.0
11,772605,2019-04-12,53.0
12,798054,2019-04-13,30.0
13,845942,2019-04-14,7.0
14,920600,2019-04-15,182.0
15,955023,2019-04-16,59.0
16,1058020,2019-04-17,29.0
17,1104412,2019-04-18,138.0
18,1185675,2019-04-19,2.0
19,1219040,2019-04-20,201.0
20,1268069,2019-04-21,16.0
21,1286058,2019-04-22,847.0
22,1340042,2019-04-23,189.0
23,1443165,2019-04-24,31.0
